language	set_id	set_name	release_date	promotional
en	0	Base	20081001	0
en	9	Intrigue	20090701	0
en	12	Seaside	20091001	0
en	1	Alchemy	20100501	0
en	11	Prosperity	20101001	0
en	3	Cornucopia	20110601	0
en	8	Hinterlands	20111001	0
en	4	Dark Ages	20120801	0
en	7	Guilds	20130601	0
en	15	Adventures	20150401	0
en	5	Envoy	20081101	1
en	2	Black Market	20090301	1
en	13	Stash	20100201	1
en	14	Walled Village	20110601	1
en	6	Governor	20111001	1
en	10	Prince	20140601	1
en	16	Summon	20150801	1
en	17	Empires	20160525	0
